1562085629599	Hebei	Shijiazhuang	564	1
1562085629621	Hunan	Changsha	14	6
1562085629636	Hebei	Zhangjiakou	265	9
1562085629653	Hunan	Changsha	985	4
1562085629677	Jiangsu	Nanjing	560	6
1562085629683	Hubei	Jingzhou	274	2
1562085629699	Jiangsu	Suzhou	29	5
1562085629704	Jiangsu	Nanjing	759	3
1562085629706	Hunan	Xiangtan	88	8
1562085629713	Hebei	Zhangjiakou	102	9
1562085629715	Hebei	Zhangjiakou	302	2
1562085629716	Hunan	Xiangtan	784	5
1562085629721	Hebei	Zhangjiakou	892	5
1562085629722	Hubei	Jingzhou	17	5
1562085629723	Hunan	Xiangtan	149	1
1562085629724	Hunan	Changsha	70	8
1562085629732	Hebei	Shijiazhuang	430	4
1562085629734	Henan	Zhengzhou	853	7
1562085629736	Henan	Luoyang	80	0
1562085629737	Henan	Zhengzhou	712	5
1562085629739	Jiangsu	Suzhou	502	8
1562085629750	Jiangsu	Nanjing	650	0
1562085629753	Hebei	Zhangjiakou	786	4
1562085629756	Henan	Zhengzhou	679	0
1562085629763	Henan	Zhengzhou	596	0
1562085629765	Hunan	Xiangtan	32	5
1562085629766	Hebei	Zhangjiakou	314	1
1562085629768	Henan	Zhengzhou	804	4
1562085629770	Jiangsu	Suzhou	504	4
1562085629772	Hubei	Jingzhou	440	0
1562085629775	Henan	Luoyang	914	6
1562085629780	Jiangsu	Nanjing	519	7
1562085629783	Jiangsu	Suzhou	477	0
1562085629784	Hunan	Changsha	826	7
1562085629787	Hubei	Jingzhou	585	2
1562085629788	Henan	Luoyang	345	2
1562085629795	Henan	Zhengzhou	161	0
1562085629797	Hunan	Xiangtan	240	5
1562085629797	Hubei	Wuhan	664	0
1562085629799	Hebei	Zhangjiakou	883	3
1562085629800	Jiangsu	Suzhou	965	7
1562085629801	Hunan	Changsha	505	3
1562085629802	Jiangsu	Suzhou	208	6
1562085629802	Henan	Zhengzhou	523	7
1562085629805	Hubei	Wuhan	674	8
1562085629805	Jiangsu	Nanjing	358	5
1562085629806	Jiangsu	Suzhou	80	6
1562085629807	Hubei	Wuhan	965	1
1562085629808	Henan	Zhengzhou	416	6
